read_id	chr	start	end	strand	dbl_count	cds	sofa
1173	NC_000913.3	4176573	4176874	+	TRUE	3897	TRUE
1172	NC_000913.3	2929254	2929555	+	TRUE	2758	TRUE
1171	NC_000913.3	805356	805657	+	TRUE	752	TRUE
1170	NC_000913.3	4536648	4536949	+	TRUE	4227	FALSE
1179	NC_000913.3	4120651	4120952	+	TRUE	3858	TRUE
1178	NC_000913.3	2027791	2028092	+	TRUE	1942	hit1
7188	NC_000913.3	1025930	1026231	+	TRUE	942	TRUE
876	NC_000913.3	4029468	4029769	+	TRUE	3779	hit1
877	NC_000913.3	600785	601086	+	TRUE	570	TRUE
7180	NC_000913.3	843518	843819	+	TRUE	789	TRUE
7181	NC_000913.3	4365094	4365395	+	TRUE	4055	TRUE
7182	NC_000913.3	880425	880726	+	FALSE	NA	FALSE
7183	NC_000913.3	4199761	4200062	+	TRUE	3917	TRUE
7184	NC_000913.3	1690272	1690573	+	TRUE	1602	hit2
3432	NC_000913.3	116650	116951	+	TRUE	102	TRUE
7186	NC_000913.3	1785331	1785632	+	TRUE	1690	TRUE
7187	NC_000913.3	2182643	2182944	+	FALSE	NA	TRUE
623	NC_000913.3	4321942	4322243	+	TRUE	4019	TRUE
875	NC_000913.3	3318000	3318301	+	FALSE	NA	TRUE
622	NC_000913.3	2845897	2846198	+	TRUE	2683	TRUE
872	NC_000913.3	2653985	2654286	+	FALSE	NA	TRUE
1225	NC_000913.3	3917080	3917381	+	TRUE	3680	hit1
3435	NC_000913.3	3017834	3018135	+	TRUE	2834	TRUE
620	NC_000913.3	3177451	3177752	+	TRUE	2983	TRUE
8549	NC_000913.3	4049040	4049341	+	TRUE	3791	TRUE
870	NC_000913.3	743173	743474	+	TRUE	698	TRUE
8019	NC_000913.3	2985501	2985802	+	FALSE	NA	TRUE
8018	NC_000913.3	650104	650405	+	TRUE	613	TRUE
8017	NC_000913.3	2004447	2004748	+	TRUE	1913	hit1
627	NC_000913.3	684452	684753	+	TRUE	648	hit1
8015	NC_000913.3	566976	567277	+	FALSE	NA	TRUE
871	NC_000913.3	548935	549236	+	TRUE	509	FALSE
8013	NC_000913.3	993125	993426	+	FALSE	NA	FALSE
8012	NC_000913.3	1843687	1843988	+	TRUE	1750	TRUE
8011	NC_000913.3	3133824	3134125	+	FALSE	NA	FALSE
626	NC_000913.3	2951696	2951997	+	TRUE	2778	hit2
7456	NC_000913.3	2930633	2930934	+	TRUE	2759	TRUE
4592	NC_000913.3	2776200	2776501	+	FALSE	NA	TRUE
7454	NC_000913.3	2932172	2932473	+	TRUE	2761	hit2
7455	NC_000913.3	2116234	2116535	+	TRUE	2028	FALSE
7452	NC_000913.3	3355305	3355606	+	TRUE	3156	TRUE
625	NC_000913.3	2105029	2105330	+	TRUE	2018	hit2
7450	NC_000913.3	4012881	4013182	+	FALSE	NA	TRUE
2036	NC_000913.3	1062769	1063070	+	TRUE	982	TRUE
624	NC_000913.3	4144565	4144866	+	TRUE	3877	FALSE
4590	NC_000913.3	2960984	2961285	+	TRUE	2781	TRUE
7458	NC_000913.3	4523051	4523352	+	TRUE	4211	FALSE
7459	NC_000913.3	188580	188881	+	TRUE	162	hit2
4591	NC_000913.3	82589	82890	+	TRUE	72	TRUE
4596	NC_000913.3	4106344	4106645	+	TRUE	3842	TRUE
4849	NC_000913.3	987058	987359	+	FALSE	NA	TRUE
4594	NC_000913.3	847586	847887	+	TRUE	792	TRUE
4595	NC_000913.3	1809526	1809827	+	TRUE	1715	TRUE
2749	NC_000913.3	1618844	1619145	+	FALSE	NA	hit2
4845	NC_000913.3	1583808	1584109	+	FALSE	NA	FALSE
4598	NC_000913.3	4015402	4015703	+	TRUE	3765	TRUE
8291	NC_000913.3	2129620	2129921	+	TRUE	2040	TRUE
4599	NC_000913.3	2535071	2535372	+	TRUE	2395	TRUE
4734	NC_000913.3	461382	461683	+	TRUE	432	TRUE
8290	NC_000913.3	1885178	1885479	+	TRUE	1792	TRUE
4735	NC_000913.3	2601778	2602079	+	TRUE	2463	TRUE
8293	NC_000913.3	2983513	2983814	+	TRUE	2802	TRUE
8292	NC_000913.3	3282589	3282890	+	TRUE	3081	TRUE
2039	NC_000913.3	2854376	2854677	+	TRUE	2693	TRUE
8295	NC_000913.3	4080061	4080362	+	FALSE	NA	TRUE
4843	NC_000913.3	1381744	1382045	+	FALSE	NA	TRUE
4738	NC_000913.3	340561	340862	+	TRUE	320	TRUE
8294	NC_000913.3	2535917	2536218	+	TRUE	2396	hit2
4739	NC_000913.3	3149764	3150065	+	TRUE	2955	TRUE
8297	NC_000913.3	3117373	3117674	+	TRUE	2926	TRUE
8296	NC_000913.3	915212	915513	+	TRUE	856	TRUE
393	NC_000913.3	1804974	1805275	+	FALSE	NA	#N/A
392	NC_000913.3	4230070	4230371	+	FALSE	NA	TRUE
391	NC_000913.3	3493847	3494148	+	FALSE	NA	TRUE
390	NC_000913.3	784913	785214	+	TRUE	734	TRUE
397	NC_000913.3	724778	725079	+	FALSE	NA	TRUE
396	NC_000913.3	1214434	1214735	+	TRUE	1141	TRUE
395	NC_000913.3	4143847	4144148	+	TRUE	3877	FALSE
394	NC_000913.3	1078805	1079106	+	FALSE	NA	TRUE
399	NC_000913.3	4235769	4236070	+	TRUE	3940	FALSE
398	NC_000913.3	2399030	2399331	+	TRUE	2267	TRUE
2309	NC_000913.3	4376114	4376415	+	FALSE	NA	FALSE
2308	NC_000913.3	3380887	3381188	+	TRUE	3178	TRUE
4729	NC_000913.3	211742	212043	+	TRUE	181	TRUE
4728	NC_000913.3	2606820	2607121	+	TRUE	2467	TRUE
2301	NC_000913.3	519748	520049	+	TRUE	486	hit1
2300	NC_000913.3	1561821	1562122	+	TRUE	1473	TRUE
2303	NC_000913.3	3663680	3663981	+	FALSE	NA	hit2
2302	NC_000913.3	58045	58346	+	FALSE	NA	TRUE
2305	NC_000913.3	4182751	4183052	+	TRUE	3904	TRUE
2304	NC_000913.3	2813809	2814110	+	TRUE	2653	TRUE
2307	NC_000913.3	2045863	2046164	+	TRUE	1960	hit1
2306	NC_000913.3	2265833	2266134	+	FALSE	NA	TRUE
5847	NC_000913.3	2928811	2929112	+	TRUE	2758	TRUE
5846	NC_000913.3	2904766	2905067	+	TRUE	2738	hit2
5845	NC_000913.3	515705	516006	+	FALSE	NA	TRUE
5844	NC_000913.3	3608005	3608306	+	TRUE	3404	TRUE
5843	NC_000913.3	3260765	3261066	+	TRUE	3061	TRUE
5842	NC_000913.3	2013383	2013684	+	TRUE	1925	TRUE
5841	NC_000913.3	2439573	2439874	+	TRUE	2306	hit2
5840	NC_000913.3	1142379	1142680	+	TRUE	1061	TRUE
5849	NC_000913.3	1453784	1454085	+	TRUE	1375	TRUE
5848	NC_000913.3	2792276	2792577	+	TRUE	2629	TRUE
3748	NC_000913.3	4619323	4619624	+	TRUE	4297	TRUE
3749	NC_000913.3	4327634	4327935	+	TRUE	4025	hit1
3746	NC_000913.3	2254983	2255284	+	FALSE	NA	TRUE
3747	NC_000913.3	2420180	2420481	+	TRUE	2285	hit1
3744	NC_000913.3	3645946	3646247	+	TRUE	3434	hit2
3745	NC_000913.3	2175707	2176008	+	TRUE	2079	TRUE
3742	NC_000913.3	3024433	3024734	+	TRUE	2838	TRUE
3743	NC_000913.3	3660321	3660622	+	TRUE	3450	TRUE
3740	NC_000913.3	4480687	4480988	+	TRUE	4172	TRUE
3741	NC_000913.3	1797213	1797514	+	TRUE	1701	TRUE
4620	NC_000913.3	3183078	3183379	+	TRUE	2988	TRUE
4621	NC_000913.3	578589	578890	+	TRUE	550	TRUE
4622	NC_000913.3	2479726	2480027	+	TRUE	2350	hit1
4623	NC_000913.3	4125444	4125745	+	TRUE	3862	TRUE
4624	NC_000913.3	2347182	2347483	+	FALSE	NA	TRUE
4625	NC_000913.3	1146060	1146361	+	TRUE	1064	TRUE
4626	NC_000913.3	2535252	2535553	+	TRUE	2395	hit2
4627	NC_000913.3	869327	869628	+	TRUE	811	TRUE
4628	NC_000913.3	2393168	2393469	+	TRUE	2262	TRUE
4629	NC_000913.3	3143735	3144036	+	TRUE	2948	TRUE
179	NC_000913.3	3787307	3787608	+	TRUE	3559	TRUE
178	NC_000913.3	202442	202743	+	TRUE	175	TRUE
177	NC_000913.3	4538116	4538417	+	TRUE	4228	TRUE
176	NC_000913.3	1137215	1137516	+	FALSE	NA	TRUE
175	NC_000913.3	955789	956090	+	TRUE	885	TRUE
174	NC_000913.3	4563461	4563762	+	FALSE	NA	FALSE
173	NC_000913.3	936783	937084	+	TRUE	870	TRUE
172	NC_000913.3	2046016	2046317	+	TRUE	1960	TRUE
171	NC_000913.3	1557629	1557930	+	TRUE	1469	TRUE
170	NC_000913.3	4138310	4138611	+	TRUE	3872	TRUE
7218	NC_000913.3	1117543	1117844	+	TRUE	1032	TRUE
7219	NC_000913.3	4545084	4545385	+	TRUE	4235	hit2
7210	NC_000913.3	4239728	4240029	+	TRUE	3944	TRUE
7211	NC_000913.3	580946	581247	+	TRUE	554	TRUE
7212	NC_000913.3	541182	541483	+	TRUE	503	TRUE
7213	NC_000913.3	2426104	2426405	+	TRUE	2293	TRUE
7214	NC_000913.3	2497485	2497786	+	TRUE	2364	FALSE
7215	NC_000913.3	2828299	2828600	+	TRUE	2667	TRUE
7216	NC_000913.3	824974	825275	+	TRUE	773	TRUE
7217	NC_000913.3	12601	12902	+	TRUE	12	TRUE
6217	NC_000913.3	3550610	3550911	+	TRUE	3354	TRUE
6216	NC_000913.3	1205195	1205496	+	TRUE	1126	TRUE
6215	NC_000913.3	1023414	1023715	+	TRUE	940	TRUE
6214	NC_000913.3	651275	651576	+	TRUE	615	TRUE
6213	NC_000913.3	2758880	2759181	+	TRUE	2601	TRUE
6212	NC_000913.3	2229941	2230242	+	TRUE	2124	TRUE
6211	NC_000913.3	2552187	2552488	+	FALSE	NA	hit2
6210	NC_000913.3	3791546	3791847	+	TRUE	3563	TRUE
6219	NC_000913.3	179931	180232	+	TRUE	155	hit1
6218	NC_000913.3	1192473	1192774	+	FALSE	NA	TRUE
6819	NC_000913.3	3684886	3685187	+	TRUE	3465	TRUE
6818	NC_000913.3	4114660	4114961	+	TRUE	3852	TRUE
6811	NC_000913.3	1874733	1875034	+	TRUE	1778	TRUE
6810	NC_000913.3	2529241	2529542	+	TRUE	2390	TRUE
6813	NC_000913.3	572534	572835	+	TRUE	538	TRUE
6812	NC_000913.3	1537901	1538202	+	TRUE	1454	TRUE
6815	NC_000913.3	120964	121265	+	TRUE	107	TRUE
6814	NC_000913.3	277248	277549	+	TRUE	253	TRUE
6817	NC_000913.3	480534	480835	+	FALSE	NA	TRUE
6816	NC_000913.3	2138523	2138824	+	TRUE	2047	hit1
9757	NC_000913.3	2887554	2887855	+	TRUE	2724	TRUE
9756	NC_000913.3	1208561	1208862	+	TRUE	1133	hit2
9755	NC_000913.3	2358092	2358393	+	TRUE	2228	TRUE
9754	NC_000913.3	3263974	3264275	+	TRUE	3063	TRUE
9753	NC_000913.3	1805028	1805329	+	TRUE	1709	TRUE
9752	NC_000913.3	4619300	4619601	+	TRUE	4297	TRUE
9751	NC_000913.3	3569434	3569735	+	TRUE	3367	hit1
9750	NC_000913.3	732701	733002	+	TRUE	688	TRUE
9759	NC_000913.3	1697636	1697937	+	TRUE	1607	TRUE
9758	NC_000913.3	2244641	2244942	+	TRUE	2139	FALSE
8913	NC_000913.3	1528615	1528916	+	TRUE	1444	TRUE
8848	NC_000913.3	3587729	3588030	+	TRUE	3384	TRUE
8849	NC_000913.3	3662125	3662426	+	TRUE	3450	TRUE
8840	NC_000913.3	1717527	1717828	+	TRUE	1627	FALSE
8841	NC_000913.3	611905	612206	+	TRUE	580	TRUE
8842	NC_000913.3	3617691	3617992	+	TRUE	3415	TRUE
8843	NC_000913.3	1164784	1165085	+	TRUE	1084	TRUE
8844	NC_000913.3	3062522	3062823	+	TRUE	2873	FALSE
8845	NC_000913.3	474684	474985	+	TRUE	444	FALSE
8846	NC_000913.3	2373611	2373912	+	TRUE	2244	TRUE
8847	NC_000913.3	4275639	4275940	+	TRUE	3977	TRUE
8915	NC_000913.3	926070	926371	+	FALSE	NA	TRUE
7669	NC_000913.3	1942902	1943203	+	TRUE	1849	TRUE
7668	NC_000913.3	795245	795546	+	TRUE	744	TRUE
7661	NC_000913.3	4303336	4303637	+	TRUE	3998	TRUE
7660	NC_000913.3	3560588	3560889	+	TRUE	3360	TRUE
7663	NC_000913.3	2207969	2208270	+	TRUE	2104	#N/A
7662	NC_000913.3	1192585	1192886	+	TRUE	1110	TRUE
7665	NC_000913.3	3474371	3474672	+	FALSE	NA	TRUE
7664	NC_000913.3	2060520	2060821	+	TRUE	1966	FALSE
7667	NC_000913.3	2801099	2801400	+	TRUE	2642	TRUE
7666	NC_000913.3	1678506	1678807	+	TRUE	1592	#N/A
1768	NC_000913.3	1328242	1328543	+	TRUE	1251	hit2
1769	NC_000913.3	931969	932270	+	FALSE	NA	hit1
1762	NC_000913.3	3527912	3528213	+	TRUE	3335	TRUE
1763	NC_000913.3	1148640	1148941	+	TRUE	1068	hit2
1760	NC_000913.3	4206973	4207274	+	TRUE	3924	TRUE
1761	NC_000913.3	1997798	1998099	+	TRUE	1907	TRUE
1766	NC_000913.3	619803	620104	+	TRUE	585	TRUE
1767	NC_000913.3	3739858	3740159	+	TRUE	3511	TRUE
1764	NC_000913.3	3481339	3481640	+	TRUE	3290	TRUE
1765	NC_000913.3	468275	468576	+	TRUE	439	hit2
692	NC_000913.3	2842844	2843145	+	FALSE	NA	TRUE
693	NC_000913.3	2436441	2436742	+	FALSE	NA	TRUE
690	NC_000913.3	1830895	1831196	+	TRUE	1736	TRUE
691	NC_000913.3	3523080	3523381	+	TRUE	3333	TRUE
696	NC_000913.3	348391	348692	+	FALSE	NA	TRUE
697	NC_000913.3	1262389	1262690	+	TRUE	1188	TRUE
694	NC_000913.3	4404645	4404946	+	TRUE	4095	hit1
695	NC_000913.3	214133	214434	+	FALSE	NA	TRUE
698	NC_000913.3	1990295	1990596	+	TRUE	1899	TRUE
699	NC_000913.3	4515297	4515598	+	TRUE	4204	hit2
1548	NC_000913.3	1701454	1701755	+	TRUE	1610	TRUE
1549	NC_000913.3	2670105	2670406	+	TRUE	2520	TRUE
8710	NC_000913.3	2883331	2883632	+	TRUE	2722	TRUE
8711	NC_000913.3	2492472	2492773	+	TRUE	2358	TRUE
8712	NC_000913.3	4258954	4259255	+	FALSE	NA	TRUE
8713	NC_000913.3	1279046	1279347	+	TRUE	1206	TRUE
8714	NC_000913.3	2403601	2403902	+	TRUE	2270	TRUE
8715	NC_000913.3	673820	674121	+	TRUE	638	TRUE
8716	NC_000913.3	4600744	4601045	+	TRUE	4277	TRUE
8717	NC_000913.3	2605614	2605915	+	TRUE	2465	TRUE
8718	NC_000913.3	3997443	3997744	+	TRUE	3748	TRUE
8719	NC_000913.3	3459770	3460071	+	TRUE	3264	hit1
5618	NC_000913.3	3531667	3531968	+	TRUE	3339	TRUE
5619	NC_000913.3	299786	300087	+	TRUE	280	TRUE
9330	NC_000913.3	2035755	2036056	+	TRUE	1951	TRUE
5612	NC_000913.3	1898126	1898427	+	FALSE	NA	FALSE
5613	NC_000913.3	4600195	4600496	+	TRUE	4277	TRUE
5610	NC_000913.3	3330190	3330491	+	FALSE	NA	TRUE
5611	NC_000913.3	2058937	2059238	+	TRUE	1965	TRUE
5616	NC_000913.3	873186	873487	+	TRUE	814	TRUE
5617	NC_000913.3	1980914	1981215	+	TRUE	1888	TRUE
5614	NC_000913.3	1415057	1415358	+	TRUE	1336	TRUE
5615	NC_000913.3	2524494	2524795	+	TRUE	2385	TRUE
7116	NC_000913.3	32394	32695	+	TRUE	31	hit2
7118	NC_000913.3	911673	911974	+	TRUE	853	TRUE
9524	NC_000913.3	470986	471287	+	TRUE	441	hit2
9525	NC_000913.3	3064553	3064854	+	TRUE	2875	TRUE
9526	NC_000913.3	3323451	3323752	+	TRUE	3120	TRUE
9527	NC_000913.3	2812419	2812720	+	FALSE	NA	TRUE
9520	NC_000913.3	1647307	1647608	+	TRUE	1556	TRUE
9521	NC_000913.3	4079737	4080038	+	TRUE	3818	TRUE
9522	NC_000913.3	1508866	1509167	+	FALSE	NA	TRUE
9523	NC_000913.3	3408187	3408488	+	TRUE	3202	TRUE
6778	NC_000913.3	909031	909332	+	TRUE	851	hit2
6779	NC_000913.3	1130089	1130390	+	TRUE	1049	FALSE
6774	NC_000913.3	2137710	2138011	+	FALSE	NA	TRUE
6775	NC_000913.3	2214378	2214679	+	TRUE	2109	TRUE
6776	NC_000913.3	4105353	4105654	+	TRUE	3840	hit2
6777	NC_000913.3	302151	302452	+	TRUE	282	TRUE
6770	NC_000913.3	4343528	4343829	+	TRUE	4037	TRUE
6771	NC_000913.3	3653491	3653792	+	FALSE	NA	TRUE
6772	NC_000913.3	534519	534820	+	TRUE	498	TRUE
6773	NC_000913.3	1474551	1474852	+	TRUE	1393	hit2
9964	NC_000913.3	1620243	1620544	+	TRUE	1518	TRUE
9965	NC_000913.3	2847463	2847764	+	TRUE	2685	TRUE
9966	NC_000913.3	2161887	2162188	+	TRUE	2063	TRUE
9967	NC_000913.3	4298061	4298362	+	TRUE	3995	TRUE
9960	NC_000913.3	1749114	1749415	+	TRUE	1657	TRUE
9961	NC_000913.3	3660150	3660451	+	TRUE	3449	TRUE
9962	NC_000913.3	3040453	3040754	+	TRUE	2852	TRUE
9963	NC_000913.3	3393356	3393657	+	TRUE	3189	TRUE
9968	NC_000913.3	3043614	3043915	+	TRUE	2857	#N/A
9969	NC_000913.3	1411234	1411535	+	TRUE	1330	#N/A
3580	NC_000913.3	4231508	4231809	+	FALSE	NA	hit2
258	NC_000913.3	2768101	2768402	+	TRUE	2608	TRUE
259	NC_000913.3	74431	74732	+	TRUE	65	hit1
252	NC_000913.3	3668336	3668637	+	TRUE	3454	TRUE
253	NC_000913.3	3207242	3207543	+	TRUE	3012	TRUE
250	NC_000913.3	1991747	1992048	+	FALSE	NA	hit2
251	NC_000913.3	276034	276335	+	TRUE	252	#N/A
256	NC_000913.3	1594525	1594826	+	TRUE	1495	TRUE
257	NC_000913.3	1576935	1577236	+	TRUE	1481	TRUE
254	NC_000913.3	4302414	4302715	+	TRUE	3997	TRUE
255	NC_000913.3	2106154	2106455	+	TRUE	2019	TRUE
4665	NC_000913.3	1768430	1768731	+	TRUE	1675	TRUE
9508	NC_000913.3	1625150	1625451	+	FALSE	NA	hit2
9509	NC_000913.3	3771633	3771934	+	FALSE	NA	TRUE
9502	NC_000913.3	3183714	3184015	+	TRUE	2989	TRUE
9503	NC_000913.3	4172115	4172416	+	TRUE	3894	FALSE
9500	NC_000913.3	2249573	2249874	+	TRUE	2142	TRUE
9501	NC_000913.3	4140441	4140742	+	TRUE	3874	TRUE
9506	NC_000913.3	2963084	2963385	+	TRUE	2784	FALSE
9507	NC_000913.3	760216	760517	+	TRUE	713	TRUE
9504	NC_000913.3	1510927	1511228	+	TRUE	1426	#N/A
9505	NC_000913.3	3127580	3127881	+	TRUE	2932	TRUE
3689	NC_000913.3	1652846	1653147	+	TRUE	1567	hit1
3688	NC_000913.3	40305	40606	+	TRUE	38	TRUE
3683	NC_000913.3	943976	944277	+	TRUE	876	FALSE
3682	NC_000913.3	488423	488724	+	TRUE	456	#N/A
3681	NC_000913.3	1540421	1540722	+	TRUE	1455	TRUE
3680	NC_000913.3	4311797	4312098	+	TRUE	4005	hit1
3687	NC_000913.3	2695767	2696068	+	TRUE	2540	TRUE
3686	NC_000913.3	2914058	2914359	+	TRUE	2747	TRUE
3685	NC_000913.3	4484815	4485116	+	TRUE	4175	TRUE
3684	NC_000913.3	2311383	2311684	+	FALSE	NA	TRUE
2518	NC_000913.3	1862920	1863221	+	TRUE	1767	hit1
2519	NC_000913.3	4097490	4097791	+	FALSE	NA	hit1
2514	NC_000913.3	944988	945289	+	TRUE	877	TRUE
2515	NC_000913.3	3766239	3766540	+	TRUE	3535	TRUE
2516	NC_000913.3	215818	216119	+	FALSE	NA	TRUE
2517	NC_000913.3	1308695	1308996	+	TRUE	1229	FALSE
2510	NC_000913.3	675247	675548	+	TRUE	639	FALSE
2511	NC_000913.3	918908	919209	+	TRUE	858	FALSE
2512	NC_000913.3	311067	311368	+	TRUE	290	hit1
2513	NC_000913.3	3011044	3011345	+	TRUE	2829	hit1
3531	NC_000913.3	768117	768418	+	TRUE	719	FALSE
3530	NC_000913.3	2410366	2410667	+	TRUE	2276	TRUE
3533	NC_000913.3	3852657	3852958	+	FALSE	NA	FALSE
3532	NC_000913.3	3567252	3567553	+	TRUE	3365	hit2
3535	NC_000913.3	1031988	1032289	+	FALSE	NA	FALSE
3534	NC_000913.3	2687507	2687808	+	TRUE	2536	TRUE
3537	NC_000913.3	570882	571183	+	TRUE	535	TRUE
3536	NC_000913.3	2690482	2690783	+	TRUE	2538	TRUE
5054	NC_000913.3	2537040	2537341	+	FALSE	NA	TRUE
3538	NC_000913.3	1773509	1773810	+	TRUE	1679	TRUE
5056	NC_000913.3	885551	885852	+	TRUE	825	TRUE
5057	NC_000913.3	2011075	2011376	+	FALSE	NA	TRUE
5050	NC_000913.3	2576643	2576944	+	TRUE	2442	FALSE
5051	NC_000913.3	801003	801304	+	TRUE	750	TRUE
5052	NC_000913.3	57447	57748	+	TRUE	53	TRUE
5053	NC_000913.3	2155974	2156275	+	TRUE	2061	TRUE
1159	NC_000913.3	1343340	1343641	+	FALSE	NA	#N/A
1158	NC_000913.3	1353061	1353362	+	TRUE	1275	FALSE
1155	NC_000913.3	2508300	2508601	+	FALSE	NA	TRUE
1154	NC_000913.3	983327	983628	+	TRUE	906	TRUE
1157	NC_000913.3	1030259	1030560	+	TRUE	949	TRUE
1156	NC_000913.3	596047	596348	+	TRUE	567	hit2
1151	NC_000913.3	134821	135122	+	TRUE	115	TRUE
1150	NC_000913.3	4518612	4518913	+	TRUE	4208	TRUE
1153	NC_000913.3	1977491	1977792	+	TRUE	1883	TRUE
1152	NC_000913.3	4128954	4129255	+	TRUE	3866	TRUE
8035	NC_000913.3	2820712	2821013	+	TRUE	2659	TRUE
8034	NC_000913.3	3951919	3952220	+	FALSE	NA	TRUE
8037	NC_000913.3	2534591	2534892	+	TRUE	2395	TRUE
8036	NC_000913.3	1584820	1585121	+	TRUE	1487	TRUE
8031	NC_000913.3	4304640	4304941	+	TRUE	4000	TRUE
8030	NC_000913.3	1765581	1765882	+	TRUE	1675	hit2
8033	NC_000913.3	3253075	3253376	+	FALSE	NA	TRUE
8032	NC_000913.3	3178389	3178690	+	TRUE	2984	#N/A
8039	NC_000913.3	4190711	4191012	+	TRUE	3907	TRUE
