chr	start	end	strand	itr_id	gene	product	protein_id
NC_000913.3	142008	142670	-	121	yadG	carbonic anhydrase	ref|NP_414668.1|
NC_000913.3	142779	143705	+	122	yadH	putative ABC transporter ATPase	ref|NP_414669.1|
NC_000913.3	143702	144472	+	123	yadI	putative ABC transporter permease	ref|NP_414670.1|
NC_000913.3	144577	145017	+	124	yadE	putative PTS Enzyme IIA	ref|NP_414671.1|
NC_000913.3	145081	146310	+	125	panD	putative polysaccharide deacetylase lipoprotein	ref|NP_414672.1|
NC_000913.3	146314	146694	-	126	yadD	aspartate 1-decarboxylase	ref|NP_414673.1|
NC_000913.3	146968	147870	+	127	panC	transposase_31 family protein	ref|NP_414674.1|
NC_000913.3	147944	148795	-	128	panB	pantothenate synthetase	ref|NP_414675.1|
NC_000913.3	148807	149601	-	129	yadC	3-methyl-2-oxobutanoate hydroxymethyltransferase	ref|NP_414676.1|
NC_000913.3	149715	150953	-	130	yadK	putative fimbrial-like adhesin protein	ref|NP_414677.1|
NC_000913.3	151003	151599	-	131	yadL	putative fimbrial-like adhesin protein	ref|NP_414678.1|
NC_000913.3	151626	152231	-	132	yadM	putative fimbrial-like adhesin protein	ref|NP_414679.1|
NC_000913.3	152243	152812	-	133	htrE	putative fimbrial-like adhesin protein	ref|NP_414680.4|
NC_000913.3	152829	155426	-	134	yadV	putative outer membrane usher protein	ref|NP_414681.1|
NC_000913.3	155461	156201	-	135	yadN	putative periplasmic pilin chaperone	ref|NP_414682.1|
NC_000913.3	156299	156883	-	136	folK	putative fimbrial-like adhesin protein	ref|NP_414683.1|
NC_000913.3	157253	157732	-	137	pcnB	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	ref|NP_414684.1|
NC_000913.3	157729	159126	-	138	gluQ	poly(A) polymerase	ref|NP_414685.4|
NC_000913.3	159186	160112	-	139	dksA	glutamyl-Q tRNA(Asp) synthetase	ref|NP_414686.3|
NC_000913.3	160149	160604	-	140	sfsA	transcriptional regulator of rRNA transcription; DnaK suppressor protein	ref|NP_414687.1|
NC_000913.3	160782	161486	-	141	ligT	sugar fermentation stimulation protein A	ref|NP_414688.1|
NC_000913.3	161501	162031	-	142	hrpB	2'-5' RNA ligase	ref|NP_414689.4|
NC_000913.3	162105	164534	+	143	mrcB	putative ATP-dependent helicase	ref|NP_414690.4|
NC_000913.3	164730	167264	+	144	fhuA	fused glycosyl transferase and transpeptidase	ref|NP_414691.1|
NC_000913.3	167484	169727	+	145	fhuC	ferrichrome outer membrane transporter	ref|NP_414692.1|
NC_000913.3	169778	170575	+	146	fhuD	iron(3+)-hydroxamate import ABC transporter ATPase	ref|NP_414693.1|
NC_000913.3	170575	171465	+	147	fhuB	iron(3+)-hydroxamate import ABC transporter periplasmic binding protein	ref|NP_414694.1|
NC_000913.3	171462	173444	+	148	hemL	iron(3+)-hydroxamate import ABC transporter permease	ref|NP_414695.1|
NC_000913.3	173602	174882	-	149	clcA	glutamate-1-semialdehyde aminotransferase (aminomutase)	ref|NP_414696.1|
NC_000913.3	175107	176528	+	150	erpA	H(+)/Cl(-) exchange transporter	ref|NP_414697.1|
NC_000913.3	176610	176954	+	151	yadS	iron-sulfur cluster insertion protein	ref|NP_414698.1|
NC_000913.3	177001	177624	-	152	btuF	UPF0126 family inner membrane protein	ref|NP_414699.1|
NC_000913.3	177662	178462	-	153	mtn	vitamin B12 ABC transporter periplasmic binding protein	ref|NP_414700.1|
NC_000913.3	178455	179153	-	154	dgt	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	ref|NP_414701.1|
NC_000913.3	179237	180754	+	155	degP	deoxyguanosine triphosphate triphosphohydrolase	ref|NP_414702.1|
NC_000913.3	180884	182308	+	156	cdaR	serine endoprotease (protease Do), membrane-associated	ref|NP_414703.1|
NC_000913.3	182463	183620	+	157	yaeH	carbohydrate diacid regulon transcriptional regulator; autoregulator	ref|NP_414704.4|
NC_000913.3	183709	184095	-	158	yaeI	UPF0325 family protein	ref|NP_414705.1|
NC_000913.3	184257	185069	-	159	dapD	phosphodiesterase with model substrate bis-pNPP	ref|NP_414706.2|
NC_000913.3	185123	185947	-	160	glnD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	ref|NP_414708.1|
NC_000913.3	185978	188650	-	161	map	uridylyltransferase	ref|NP_414709.1|
NC_000913.3	188712	189506	-	162	rpsB	novel sRNA, function unknown	ref|NP_414710.1|
NC_000913.3	189874	190599	+	163	tsf	30S ribosomal subunit protein S2	ref|NP_414711.1|
NC_000913.3	190857	191708	+	164	pyrH	translation elongation factor EF-Ts	ref|NP_414712.1|
NC_000913.3	191855	192580	+	165	frr	uridylate kinase	ref|NP_414713.1|
NC_000913.3	192872	193429	+	166	dxr	ribosome recycling factor	ref|NP_414714.1|
NC_000913.3	193521	194717	+	167	ispU	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ref|NP_414715.1|
NC_000913.3	194903	195664	+	168	cdsA	undecaprenyl pyrophosphate synthase	ref|NP_414716.1|
NC_000913.3	195677	196534	+	169	rseP	CDP-diglyceride synthase	ref|NP_414717.2|
NC_000913.3	196546	197898	+	170	bamA	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease	ref|NP_414718.1|
NC_000913.3	197928	200360	+	171	skp	BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor	ref|NP_414719.1|
NC_000913.3	200482	200967	+	172	lpxD	periplasmic chaperone	ref|NP_414720.1|
NC_000913.3	200971	201996	+	173	fabZ	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	ref|NP_414721.1|
NC_000913.3	202101	202556	+	174	lpxA	(3R)-hydroxymyristol acyl carrier protein dehydratase	ref|NP_414722.1|
NC_000913.3	202560	203348	+	175	lpxB	UDP-N-acetylglucosamine acetyltransferase	ref|NP_414723.1|
NC_000913.3	203348	204496	+	176	rnhB	tetraacyldisaccharide-1-P synthase	ref|NP_414724.1|
NC_000913.3	204493	205089	+	177	dnaE	ribonuclease HII, degrades RNA of DNA-RNA hybrids	ref|NP_414725.1|
NC_000913.3	205126	208608	+	178	accA	DNA polymerase III alpha subunit	ref|NP_414726.1|
NC_000913.3	208621	209580	+	179	ldcC	acetyl-CoA carboxylase, carboxytransferase, alpha subunit	ref|NP_414727.1|
NC_000913.3	209679	211820	+	180	yaeR	lysine decarboxylase 2, constitutive	ref|NP_414728.1|
NC_000913.3	211877	212266	+	181	tilS	putative lyase	ref|NP_414729.4|
NC_000913.3	212331	213629	+	182	rof	tRNA(Ile)-lysidine synthetase	ref|NP_414730.1|
NC_000913.3	213678	213932	-	183	yaeP	modulator of Rho-dependent transcription termination	ref|NP_414731.2|
NC_000913.3	213925	214125	-	184	yaeQ	UPF0253 family protein	ref|YP_026160.1|
NC_000913.3	214291	214836	+	185	arfB	PDDEXK superfamily protein	ref|NP_414732.1|
NC_000913.3	214833	215255	+	186	nlpE	alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached	ref|NP_414733.1|
NC_000913.3	215269	215979	+	187	yaeF	lipoprotein involved with copper homeostasis and adhesion	ref|NP_414734.1|
NC_000913.3	216179	217003	-	188	proS	putative lipoprotein	ref|NP_414735.4|
NC_000913.3	217057	218775	-	189	tsaA	prolyl-tRNA synthetase	ref|NP_414736.1|
NC_000913.3	218887	219594	-	190	rcsF	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent	ref|NP_414737.1|
NC_000913.3	219591	219995	-	191	metQ	putative outer membrane protein	ref|NP_414738.1|
NC_000913.3	220113	220928	-	192	metI	DL-methionine transporter subunit	ref|NP_414739.1|
NC_000913.3	220968	221621	-	193	metN	DL-methionine transporter subunit	ref|NP_414740.1|
NC_000913.3	221614	222645	-	194	gmhB	DL-methionine transporter subunit	ref|NP_414741.1|
NC_000913.3	222833	223408	+	195	dkgB	tRNA-Asp	ref|NP_414742.1|
NC_000913.3	229167	229970	+	196	yafC	2,5-diketo-D-gluconate reductase B	ref|NP_414743.1|
NC_000913.3	229967	230881	-	197	yafD	LysR family putative transcriptional regulator	ref|NP_414744.1|
NC_000913.3	231122	231922	+	198	yafE	endo/exonuclease/phosphatase family protein	ref|NP_414745.1|
NC_000913.3	231926	232549	+	199	mltD	putative S-adenosyl-L-methionine-dependent methyltransferase	ref|NP_414746.1|
NC_000913.3	232597	233955	-	200	gloB	putative membrane-bound lytic murein transglycosylase D	ref|NP_414747.1|
NC_000913.3	234027	234782	-	201	yafS	hydroxyacylglutathione hydrolase	ref|NP_414748.1|
NC_000913.3	234816	235538	+	202	rnhA	putative S-adenosyl-L-methionine-dependent methyltransferase	ref|NP_414749.2|
NC_000913.3	235535	236002	-	203	dnaQ	ribonuclease HI, degrades RNA of DNA-RNA hybrids	ref|NP_414750.1|
NC_000913.3	236067	236798	+	204	yafT	tRNA-Asp	ref|NP_414751.1|
NC_000913.3	237335	238120	+	205	ykfM	lipoprotein	ref|NP_414752.1|
NC_000913.3	238257	238736	-	206	yafU	lethality reduction protein, putative inner membrane protein	ref|YP_001165307.1|
NC_000913.3	238746	239102	-	207	yafF	NA	NA
NC_000913.3	239106	239378	+	208	yafV	NA	NA
NC_000913.3	239419	240189	-	209	ivy	putative NAD(P)-binding C-N hydrolase family amidase	ref|NP_414754.1|
NC_000913.3	240343	240816	+	210	fadE	inhibitor of c-type lysozyme, periplasmic	ref|NP_414755.1|
NC_000913.3	240859	243303	-	211	gmhA	acyl coenzyme A dehydrogenase	ref|NP_414756.2|
NC_000913.3	243543	244121	+	212	yafJ	D-sedoheptulose 7-phosphate isomerase	ref|NP_414757.1|
NC_000913.3	244327	245094	+	213	yafK	type 2 glutamine amidotransferase family protein	ref|NP_414758.1|
NC_000913.3	245065	245805	-	214	yafQ	L,D-transpeptidase-related protein	ref|NP_414759.1|
NC_000913.3	245961	246239	-	215	dinJ	mRNA interferase toxin of toxin-antitoxin pair YafQ/DinJ	ref|NP_414760.1|
NC_000913.3	246242	246502	-	216	yafL	antitoxin of YafQ-DinJ toxin-antitoxin system	ref|NP_414761.1|
NC_000913.3	246712	247461	+	217	rayT	putative lipoprotein and C40 family peptidase	ref|NP_414762.1|
NC_000913.3	247637	248134	+	218	lfhA	RAYT REP element-mobilizing transposase; TnpA(REP)	ref|NP_414763.1|
NC_000913.3	248358	250070	-	219	lafU	NA	NA
NC_000913.3	250072	250827	+	220	dinB	NA	NA
NC_000913.3	250898	251953	+	221	yafN	DNA polymerase IV	ref|NP_414766.1|
NC_000913.3	252005	252298	+	222	yafO	antitoxin of the YafO-YafN toxin-antitoxin system	ref|NP_414767.1|
NC_000913.3	252301	252699	+	223	yafP	mRNA interferase toxin of the YafO-YafN toxin-antitoxin system	ref|NP_414768.1|
NC_000913.3	252709	253161	+	224	ykfJ	GNAT family putative N-acetyltransferase	ref|NP_414769.1|
NC_000913.3	253479	253685	+	225	prfH	NA	NA
NC_000913.3	253702	254202	+	226	pepD	NA	NA
NC_000913.3	254259	255716	-	227	gpt	aminoacyl-histidine dipeptidase (peptidase D)	ref|NP_414772.1|
NC_000913.3	255977	256435	+	228	frsA	xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase	ref|NP_414773.1|
NC_000913.3	256527	257771	+	229	crl	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity	ref|NP_414774.1|
NC_000913.3	257829	257899	+	230	phoE	NA	NA
NC_000913.3	259045	260100	-	231	proB	outer membrane phosphoporin protein E	ref|NP_414776.1|
NC_000913.3	260388	261491	+	232	proA	gamma-glutamate kinase	ref|NP_414777.1|
NC_000913.3	261503	262756	+	233	ykfN	tRNA-Thr	ref|NP_414778.1|
NC_000913.3	263150	263212	-	234	ykfI	NA	NA
NC_000913.3	263328	263669	-	235	yafW	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	ref|NP_414779.1|
NC_000913.3	263690	264007	-	236	ykfH	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system	ref|NP_414780.1|
NC_000913.3	264026	264247	-	237	ykfG	uncharacterized protein	ref|YP_588435.1|
NC_000913.3	264256	264732	-	238	yafX	CP4-6 prophage; RadC-like JAB domain protein	ref|NP_414781.1|
NC_000913.3	264748	265206	-	239	ykfF	CP4-6 prophage; uncharacterized protein	ref|NP_414782.1|
NC_000913.3	265304	265543	-	240	ykfB	CP4-6 prophage; uncharacterized protein	ref|NP_414783.1|
NC_000913.3	265620	266087	-	241	yafY	CP4-6 prophage; uncharacterized protein	ref|NP_414784.1|
NC_000913.3	266110	266553	-	242	ykfL	lipoprotein, inner membrane; degP regulator; CP4-6 prophage	ref|NP_414785.4|
NC_000913.3	266553	266774	-	243	ykfK	NA	NA
NC_000913.3	266776	266967	-	244	yafZ	NA	NA
NC_000913.3	267184	268005	-	245	ykfA	CP4-6 prophage; conserved protein	ref|NP_414786.4|
NC_000913.3	268097	268960	-	246	perR	CP4-6 prophage; putative GTP-binding protein	ref|NP_414787.4|
NC_000913.3	269289	270182	-	247	insN	CP4-6 prophage; putative DNA-binding transcriptional regulator	ref|NP_414788.1|
NC_000913.3	270278	270535	+	248	insI1	NA	NA
NC_000913.3	270603	271754	+	249	ykfC	novel sRNA, function unknown, CP4-6 propahge	ref|NP_414790.1|
NC_000913.3	272847	273954	+	250	insH1	NA	NA
NC_000913.3	274101	275117	-	251	mmuP	IS5 transposase and trans-activator	ref|NP_414793.1|
NC_000913.3	275325	276728	+	252	mmuM	CP4-6 prophage; putative S-methylmethionine transporter	ref|NP_414794.4|
NC_000913.3	276715	277647	+	253	afuC	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase	ref|NP_414795.1|
NC_000913.3	277756	278802	-	254	afuB	CP4-6 prophage; putative ferric transporter subunit	ref|NP_414796.2|
NC_000913.3	278814	279161	-	255	insB1	NA	NA
NC_000913.3	279178	279681	-	256	insA	IS1 transposase B	ref|NP_414798.1|
NC_000913.3	279600	279875	-	257	insI1	IS1 repressor TnpA	ref|NP_414799.1|
NC_000913.3	279931	280104	+	258	insX	NA	NA
NC_000913.3	280114	280362	-	259	yagB	NA	NA
NC_000913.3	280427	280735	-	260	yagA	NA	NA
NC_000913.3	280829	281983	-	261	yagE	CP4-6 prophage; putative DNA-binding transcriptional regulator	ref|NP_414801.1|
NC_000913.3	282278	283186	+	262	yagF	2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage	ref|NP_414802.2|
