chr	start	end	strand	dbl_count	cds
NC_000913.3	2792968	2793269	+	TRUE	2630
NC_000913.3	549789	550090	+	TRUE	510
NC_000913.3	2453061	2453362	+	TRUE	2321
NC_000913.3	2392153	2392454	+	TRUE	2261
NC_000913.3	1457017	1457318	+	TRUE	1379
NC_000913.3	2050978	2051279	+	TRUE	1960
NC_000913.3	1068653	1068954	+	TRUE	988
NC_000913.3	3365127	3365428	+	TRUE	3161
NC_000913.3	2610862	2611163	+	TRUE	2470
NC_000913.3	1764112	1764413	+	TRUE	1672
NC_000913.3	3090926	3091227	+	FALSE	NA
NC_000913.3	2883915	2884216	+	TRUE	2722
NC_000913.3	2215493	2215794	+	FALSE	NA
NC_000913.3	4018132	4018433	+	TRUE	3767
NC_000913.3	3710739	3711040	+	TRUE	3483
NC_000913.3	3354338	3354639	+	FALSE	NA
NC_000913.3	1358060	1358361	+	TRUE	1280
NC_000913.3	4498749	4499050	+	TRUE	4187
NC_000913.3	3149562	3149863	+	TRUE	2955
NC_000913.3	1476667	1476968	+	TRUE	1394
NC_000913.3	1780106	1780407	+	TRUE	1685
NC_000913.3	2493374	2493675	+	FALSE	NA
NC_000913.3	3990631	3990932	+	FALSE	NA
NC_000913.3	2919948	2920249	+	TRUE	2750
NC_000913.3	1420446	1420747	+	TRUE	1344
NC_000913.3	1300023	1300324	+	FALSE	NA
NC_000913.3	3795599	3795900	+	TRUE	3566
NC_000913.3	2957361	2957662	+	TRUE	2780
NC_000913.3	4176573	4176874	+	TRUE	3897
NC_000913.3	2929254	2929555	+	TRUE	2758
NC_000913.3	805356	805657	+	TRUE	752
NC_000913.3	4536648	4536949	+	TRUE	4227
NC_000913.3	4120651	4120952	+	TRUE	3858
NC_000913.3	2027791	2028092	+	TRUE	1942
NC_000913.3	1025930	1026231	+	TRUE	942
NC_000913.3	4029468	4029769	+	TRUE	3779
NC_000913.3	600785	601086	+	TRUE	570
NC_000913.3	843518	843819	+	TRUE	789
NC_000913.3	4365094	4365395	+	TRUE	4055
NC_000913.3	880425	880726	+	FALSE	NA
NC_000913.3	4199761	4200062	+	TRUE	3917
NC_000913.3	1690272	1690573	+	TRUE	1602
NC_000913.3	116650	116951	+	TRUE	102
NC_000913.3	1785331	1785632	+	TRUE	1690
NC_000913.3	2182643	2182944	+	FALSE	NA
NC_000913.3	4321942	4322243	+	TRUE	4019
NC_000913.3	3318000	3318301	+	FALSE	NA
NC_000913.3	2845897	2846198	+	TRUE	2683
NC_000913.3	2653985	2654286	+	FALSE	NA
NC_000913.3	3917080	3917381	+	TRUE	3680
NC_000913.3	3017834	3018135	+	TRUE	2834
NC_000913.3	3177451	3177752	+	TRUE	2983
NC_000913.3	4049040	4049341	+	TRUE	3791
NC_000913.3	743173	743474	+	TRUE	698
NC_000913.3	2985501	2985802	+	FALSE	NA
NC_000913.3	650104	650405	+	TRUE	613
NC_000913.3	2004447	2004748	+	TRUE	1913
NC_000913.3	684452	684753	+	TRUE	648
NC_000913.3	566976	567277	+	FALSE	NA
NC_000913.3	548935	549236	+	TRUE	509
NC_000913.3	993125	993426	+	FALSE	NA
NC_000913.3	1843687	1843988	+	TRUE	1750
NC_000913.3	3133824	3134125	+	FALSE	NA
NC_000913.3	2951696	2951997	+	TRUE	2778
NC_000913.3	2930633	2930934	+	TRUE	2759
NC_000913.3	2776200	2776501	+	FALSE	NA
NC_000913.3	2932172	2932473	+	TRUE	2761
NC_000913.3	2116234	2116535	+	TRUE	2028
NC_000913.3	3355305	3355606	+	TRUE	3156
NC_000913.3	2105029	2105330	+	TRUE	2018
NC_000913.3	4012881	4013182	+	FALSE	NA
NC_000913.3	1062769	1063070	+	TRUE	982
NC_000913.3	4144565	4144866	+	TRUE	3877
NC_000913.3	2960984	2961285	+	TRUE	2781
NC_000913.3	4523051	4523352	+	TRUE	4211
NC_000913.3	188580	188881	+	TRUE	162
NC_000913.3	82589	82890	+	TRUE	72
NC_000913.3	2735402	2735703	+	TRUE	2573
NC_000913.3	987058	987359	+	FALSE	NA
NC_000913.3	847586	847887	+	TRUE	792
NC_000913.3	1809526	1809827	+	TRUE	1715
NC_000913.3	1618844	1619145	+	FALSE	NA
NC_000913.3	1583808	1584109	+	FALSE	NA
NC_000913.3	4015402	4015703	+	TRUE	3765
NC_000913.3	2129620	2129921	+	TRUE	2040
NC_000913.3	2535071	2535372	+	TRUE	2395
NC_000913.3	461382	461683	+	TRUE	432
NC_000913.3	1885178	1885479	+	TRUE	1792
NC_000913.3	2601778	2602079	+	TRUE	2463
NC_000913.3	2983513	2983814	+	TRUE	2802
NC_000913.3	3282589	3282890	+	TRUE	3081
NC_000913.3	2854376	2854677	+	TRUE	2693
NC_000913.3	4080061	4080362	+	FALSE	NA
NC_000913.3	1381744	1382045	+	FALSE	NA
NC_000913.3	340561	340862	+	TRUE	320
NC_000913.3	2535917	2536218	+	TRUE	2396
NC_000913.3	3149764	3150065	+	TRUE	2955
NC_000913.3	3117373	3117674	+	TRUE	2926
NC_000913.3	915212	915513	+	TRUE	856
NC_000913.3	1804974	1805275	+	FALSE	NA
NC_000913.3	4230070	4230371	+	FALSE	NA
NC_000913.3	3493847	3494148	+	FALSE	NA
NC_000913.3	784913	785214	+	TRUE	734
NC_000913.3	724778	725079	+	TRUE	683
NC_000913.3	1214434	1214735	+	TRUE	1141
NC_000913.3	4143847	4144148	+	TRUE	3877
NC_000913.3	1078805	1079106	+	FALSE	NA
NC_000913.3	4235769	4236070	+	TRUE	3940
NC_000913.3	2399030	2399331	+	TRUE	2267
NC_000913.3	4376114	4376415	+	FALSE	NA
NC_000913.3	3380887	3381188	+	TRUE	3178
NC_000913.3	211742	212043	+	TRUE	181
NC_000913.3	2606820	2607121	+	TRUE	2467
NC_000913.3	519748	520049	+	TRUE	486
NC_000913.3	1561821	1562122	+	TRUE	1473
NC_000913.3	3663680	3663981	+	FALSE	NA
NC_000913.3	58045	58346	+	FALSE	NA
NC_000913.3	4182751	4183052	+	TRUE	3904
NC_000913.3	2813809	2814110	+	TRUE	2653
NC_000913.3	1357933	1358234	+	TRUE	1280
NC_000913.3	2265833	2266134	+	TRUE	2156
NC_000913.3	2928811	2929112	+	TRUE	2758
NC_000913.3	2904766	2905067	+	TRUE	2738
NC_000913.3	515705	516006	+	FALSE	NA
NC_000913.3	3608005	3608306	+	TRUE	3404
NC_000913.3	3260765	3261066	+	TRUE	3061
NC_000913.3	2013383	2013684	+	TRUE	1925
NC_000913.3	2439573	2439874	+	TRUE	2306
NC_000913.3	1142379	1142680	+	TRUE	1061
NC_000913.3	1453784	1454085	+	TRUE	1375
NC_000913.3	2792276	2792577	+	TRUE	2629
NC_000913.3	4619323	4619624	+	TRUE	4297
NC_000913.3	4327634	4327935	+	TRUE	4025
NC_000913.3	2254983	2255284	+	TRUE	2146
NC_000913.3	2420180	2420481	+	TRUE	2285
NC_000913.3	3645946	3646247	+	TRUE	3434
NC_000913.3	2175707	2176008	+	TRUE	2079
NC_000913.3	3024433	3024734	+	TRUE	2838
NC_000913.3	3660321	3660622	+	TRUE	3450
NC_000913.3	4480687	4480988	+	TRUE	4172
NC_000913.3	1797213	1797514	+	TRUE	1701
NC_000913.3	3183078	3183379	+	TRUE	2988
NC_000913.3	578589	578890	+	TRUE	550
NC_000913.3	2479726	2480027	+	TRUE	2350
NC_000913.3	4125444	4125745	+	TRUE	3862
NC_000913.3	2347182	2347483	+	FALSE	NA
NC_000913.3	1146060	1146361	+	TRUE	1064
NC_000913.3	2535252	2535553	+	TRUE	2395
NC_000913.3	869327	869628	+	TRUE	811
NC_000913.3	2393168	2393469	+	TRUE	2262
NC_000913.3	3143735	3144036	+	TRUE	2948
NC_000913.3	3787307	3787608	+	TRUE	3559
NC_000913.3	202442	202743	+	TRUE	175
NC_000913.3	4538116	4538417	+	TRUE	4228
NC_000913.3	1137215	1137516	+	FALSE	NA
NC_000913.3	955789	956090	+	TRUE	885
NC_000913.3	4563461	4563762	+	FALSE	NA
NC_000913.3	936783	937084	+	TRUE	870
NC_000913.3	2046016	2046317	+	TRUE	1960
NC_000913.3	1557629	1557930	+	TRUE	1469
NC_000913.3	4138310	4138611	+	TRUE	3872
NC_000913.3	1117543	1117844	+	TRUE	1032
NC_000913.3	4545084	4545385	+	TRUE	4235
NC_000913.3	4239728	4240029	+	TRUE	3944
NC_000913.3	580946	581247	+	TRUE	554
NC_000913.3	541182	541483	+	TRUE	503
NC_000913.3	2426104	2426405	+	TRUE	2293
NC_000913.3	2497485	2497786	+	TRUE	2364
NC_000913.3	2828299	2828600	+	TRUE	2667
NC_000913.3	824974	825275	+	TRUE	773
NC_000913.3	12601	12902	+	TRUE	12
NC_000913.3	3550610	3550911	+	TRUE	3354
NC_000913.3	1205195	1205496	+	TRUE	1126
NC_000913.3	1023414	1023715	+	TRUE	940
NC_000913.3	651275	651576	+	TRUE	615
NC_000913.3	2758880	2759181	+	TRUE	2601
NC_000913.3	2229941	2230242	+	TRUE	2124
NC_000913.3	2552187	2552488	+	FALSE	NA
NC_000913.3	3791546	3791847	+	TRUE	3563
NC_000913.3	179931	180232	+	TRUE	155
NC_000913.3	1192473	1192774	+	FALSE	NA
NC_000913.3	3684886	3685187	+	TRUE	3465
NC_000913.3	4114660	4114961	+	TRUE	3852
NC_000913.3	1874733	1875034	+	TRUE	1778
NC_000913.3	2529241	2529542	+	TRUE	2390
NC_000913.3	572534	572835	+	TRUE	538
NC_000913.3	1537901	1538202	+	TRUE	1454
NC_000913.3	120964	121265	+	TRUE	107
NC_000913.3	277248	277549	+	TRUE	253
NC_000913.3	480534	480835	+	FALSE	NA
NC_000913.3	2138523	2138824	+	TRUE	2047
NC_000913.3	2887554	2887855	+	TRUE	2724
NC_000913.3	1208561	1208862	+	TRUE	1133
NC_000913.3	2358092	2358393	+	TRUE	2228
NC_000913.3	3263974	3264275	+	TRUE	3063
NC_000913.3	1805028	1805329	+	TRUE	1709
NC_000913.3	4619300	4619601	+	TRUE	4297
NC_000913.3	3569434	3569735	+	TRUE	3367
NC_000913.3	732701	733002	+	TRUE	688
NC_000913.3	1697636	1697937	+	TRUE	1607
NC_000913.3	2244641	2244942	+	TRUE	2139
NC_000913.3	1528615	1528916	+	TRUE	1444
NC_000913.3	3587729	3588030	+	TRUE	3384
NC_000913.3	3662125	3662426	+	TRUE	3450
NC_000913.3	1717527	1717828	+	TRUE	1627
NC_000913.3	611905	612206	+	TRUE	580
NC_000913.3	3617691	3617992	+	TRUE	3415
NC_000913.3	1164784	1165085	+	TRUE	1084
NC_000913.3	3062522	3062823	+	TRUE	2873
NC_000913.3	474684	474985	+	TRUE	444
NC_000913.3	2373611	2373912	+	TRUE	2244
NC_000913.3	4275639	4275940	+	TRUE	3977
NC_000913.3	926070	926371	+	FALSE	NA
NC_000913.3	1942902	1943203	+	TRUE	1849
NC_000913.3	795245	795546	+	TRUE	744
NC_000913.3	4303336	4303637	+	TRUE	3998
NC_000913.3	3560588	3560889	+	TRUE	3360
NC_000913.3	2207969	2208270	+	TRUE	2104
NC_000913.3	1192585	1192886	+	TRUE	1110
NC_000913.3	3474371	3474672	+	FALSE	NA
NC_000913.3	2060520	2060821	+	TRUE	1966
NC_000913.3	2801099	2801400	+	TRUE	2642
NC_000913.3	1678506	1678807	+	TRUE	1592
NC_000913.3	1328242	1328543	+	TRUE	1251
NC_000913.3	931969	932270	+	FALSE	NA
NC_000913.3	3527912	3528213	+	TRUE	3335
NC_000913.3	1148640	1148941	+	TRUE	1068
NC_000913.3	4206973	4207274	+	TRUE	3924
NC_000913.3	1997798	1998099	+	TRUE	1907
NC_000913.3	619803	620104	+	TRUE	585
NC_000913.3	3739858	3740159	+	TRUE	3511
NC_000913.3	3481339	3481640	+	TRUE	3290
NC_000913.3	468275	468576	+	TRUE	439
NC_000913.3	2842844	2843145	+	TRUE	2679
NC_000913.3	2436441	2436742	+	TRUE	2303
NC_000913.3	1830895	1831196	+	TRUE	1736
NC_000913.3	3523080	3523381	+	TRUE	3333
NC_000913.3	348391	348692	+	FALSE	NA
NC_000913.3	1262389	1262690	+	TRUE	1188
NC_000913.3	4404645	4404946	+	TRUE	4095
NC_000913.3	214133	214434	+	FALSE	NA
NC_000913.3	1990295	1990596	+	TRUE	1899
NC_000913.3	4515297	4515598	+	TRUE	4204
NC_000913.3	1701454	1701755	+	TRUE	1610
NC_000913.3	2670105	2670406	+	TRUE	2520
NC_000913.3	2883331	2883632	+	TRUE	2722
NC_000913.3	2492472	2492773	+	TRUE	2358
NC_000913.3	4258954	4259255	+	FALSE	NA
NC_000913.3	1279046	1279347	+	TRUE	1206
NC_000913.3	2403601	2403902	+	TRUE	2270
NC_000913.3	673820	674121	+	TRUE	638
NC_000913.3	4600744	4601045	+	TRUE	4277
NC_000913.3	2605614	2605915	+	TRUE	2465
NC_000913.3	3997443	3997744	+	TRUE	3748
NC_000913.3	3459770	3460071	+	TRUE	3264
NC_000913.3	3531667	3531968	+	TRUE	3339
NC_000913.3	299786	300087	+	TRUE	280
NC_000913.3	2035755	2036056	+	TRUE	1951
NC_000913.3	1898126	1898427	+	FALSE	NA
NC_000913.3	4600195	4600496	+	TRUE	4277
NC_000913.3	3330190	3330491	+	TRUE	3126
NC_000913.3	2058937	2059238	+	TRUE	1965
NC_000913.3	873186	873487	+	TRUE	814
NC_000913.3	1980914	1981215	+	TRUE	1888
NC_000913.3	1415057	1415358	+	TRUE	1336
NC_000913.3	2524494	2524795	+	TRUE	2385
NC_000913.3	32394	32695	+	TRUE	31
NC_000913.3	911673	911974	+	TRUE	853
NC_000913.3	470986	471287	+	TRUE	441
NC_000913.3	3064553	3064854	+	TRUE	2875
NC_000913.3	3323451	3323752	+	TRUE	3120
NC_000913.3	2812419	2812720	+	FALSE	NA
NC_000913.3	1647307	1647608	+	TRUE	1556
NC_000913.3	4079737	4080038	+	TRUE	3818
NC_000913.3	1508866	1509167	+	TRUE	1423
NC_000913.3	3408187	3408488	+	TRUE	3202
NC_000913.3	909031	909332	+	TRUE	851
NC_000913.3	1130089	1130390	+	TRUE	1049
NC_000913.3	2137710	2138011	+	FALSE	NA
NC_000913.3	2214378	2214679	+	TRUE	2109
NC_000913.3	4105353	4105654	+	TRUE	3840
NC_000913.3	302151	302452	+	TRUE	282
NC_000913.3	4343528	4343829	+	TRUE	4037
NC_000913.3	3653491	3653792	+	FALSE	NA
NC_000913.3	534519	534820	+	TRUE	498
NC_000913.3	1474551	1474852	+	TRUE	1393
NC_000913.3	1620243	1620544	+	TRUE	1518
NC_000913.3	2847463	2847764	+	TRUE	2685
NC_000913.3	2161887	2162188	+	TRUE	2063
NC_000913.3	4298061	4298362	+	TRUE	3995
NC_000913.3	1749114	1749415	+	TRUE	1657
NC_000913.3	3660150	3660451	+	TRUE	3449
NC_000913.3	3040453	3040754	+	TRUE	2852
NC_000913.3	3393356	3393657	+	TRUE	3189
NC_000913.3	3043614	3043915	+	TRUE	2857
NC_000913.3	1411234	1411535	+	TRUE	1330
NC_000913.3	4231508	4231809	+	FALSE	NA
NC_000913.3	2768101	2768402	+	TRUE	2608
NC_000913.3	74431	74732	+	TRUE	65
NC_000913.3	3668336	3668637	+	TRUE	3454
NC_000913.3	3207242	3207543	+	TRUE	3012
NC_000913.3	1991747	1992048	+	FALSE	NA
NC_000913.3	276034	276335	+	TRUE	252
NC_000913.3	1594525	1594826	+	TRUE	1495
NC_000913.3	1576935	1577236	+	TRUE	1481
NC_000913.3	4302414	4302715	+	TRUE	3997
NC_000913.3	2106154	2106455	+	TRUE	2019
NC_000913.3	1768430	1768731	+	TRUE	1675
NC_000913.3	1625150	1625451	+	FALSE	NA
NC_000913.3	3771633	3771934	+	FALSE	NA
NC_000913.3	3183714	3184015	+	TRUE	2989
NC_000913.3	4172115	4172416	+	TRUE	3894
NC_000913.3	2249573	2249874	+	TRUE	2142
NC_000913.3	4140441	4140742	+	TRUE	3874
NC_000913.3	2963084	2963385	+	TRUE	2784
NC_000913.3	760216	760517	+	TRUE	713
NC_000913.3	1510927	1511228	+	TRUE	1426
NC_000913.3	3127580	3127881	+	TRUE	2932
NC_000913.3	1652846	1653147	+	TRUE	1567
NC_000913.3	40305	40606	+	TRUE	38
NC_000913.3	943976	944277	+	TRUE	876
NC_000913.3	488423	488724	+	TRUE	456
NC_000913.3	1540421	1540722	+	TRUE	1455
NC_000913.3	4311797	4312098	+	TRUE	4005
NC_000913.3	2695767	2696068	+	TRUE	2540
NC_000913.3	2914058	2914359	+	TRUE	2747
NC_000913.3	4484815	4485116	+	TRUE	4175
NC_000913.3	2311383	2311684	+	FALSE	NA
NC_000913.3	1862920	1863221	+	TRUE	1767
NC_000913.3	4097490	4097791	+	FALSE	NA
NC_000913.3	944988	945289	+	TRUE	877
NC_000913.3	3766239	3766540	+	TRUE	3535
NC_000913.3	215818	216119	+	FALSE	NA
NC_000913.3	1308695	1308996	+	TRUE	1229
NC_000913.3	675247	675548	+	TRUE	639
NC_000913.3	918908	919209	+	TRUE	858
NC_000913.3	311067	311368	+	TRUE	290
NC_000913.3	3011044	3011345	+	TRUE	2829
NC_000913.3	768117	768418	+	TRUE	719
NC_000913.3	2410366	2410667	+	TRUE	2276
NC_000913.3	3852657	3852958	+	FALSE	NA
NC_000913.3	3567252	3567553	+	TRUE	3365
NC_000913.3	1031988	1032289	+	FALSE	NA
NC_000913.3	2687507	2687808	+	TRUE	2536
NC_000913.3	570882	571183	+	TRUE	535
NC_000913.3	2690482	2690783	+	TRUE	2538
NC_000913.3	2537040	2537341	+	TRUE	2397
NC_000913.3	1773509	1773810	+	TRUE	1679
NC_000913.3	885551	885852	+	TRUE	825
NC_000913.3	2011075	2011376	+	FALSE	NA
NC_000913.3	2576643	2576944	+	TRUE	2442
NC_000913.3	801003	801304	+	TRUE	750
NC_000913.3	57447	57748	+	TRUE	53
NC_000913.3	2155974	2156275	+	TRUE	2061
NC_000913.3	1343340	1343641	+	FALSE	NA
NC_000913.3	1353061	1353362	+	TRUE	1275
NC_000913.3	2508300	2508601	+	FALSE	NA
NC_000913.3	983327	983628	+	TRUE	906
NC_000913.3	1030259	1030560	+	TRUE	949
NC_000913.3	596047	596348	+	TRUE	567
NC_000913.3	134821	135122	+	TRUE	115
NC_000913.3	4518612	4518913	+	TRUE	4208,4207
NC_000913.3	1977491	1977792	+	TRUE	1883
NC_000913.3	4128954	4129255	+	TRUE	3866
NC_000913.3	2820712	2821013	+	TRUE	2659
NC_000913.3	3951919	3952220	+	FALSE	NA
NC_000913.3	2534591	2534892	+	TRUE	2395
NC_000913.3	1584820	1585121	+	TRUE	1487
NC_000913.3	4304640	4304941	+	TRUE	4000
NC_000913.3	1765581	1765882	+	TRUE	1675
NC_000913.3	3253075	3253376	+	TRUE	3053
NC_000913.3	3178389	3178690	+	TRUE	2984
NC_000913.3	4190711	4191012	+	TRUE	3907
NC_000913.3	270819	271120	+	TRUE	249
NC_000913.3	3982900	3983201	+	TRUE	3736
NC_000913.3	1010190	1010491	+	TRUE	929
NC_000913.3	3459372	3459673	+	TRUE	3263
NC_000913.3	4039659	4039960	+	FALSE	NA
NC_000913.3	3289610	3289911	+	TRUE	3089
NC_000913.3	4512945	4513246	+	TRUE	4202
NC_000913.3	4234701	4235002	+	TRUE	3939
NC_000913.3	4113443	4113744	+	TRUE	3850
NC_000913.3	2345450	2345751	+	TRUE	2216
NC_000913.3	3628993	3629294	+	TRUE	3422
NC_000913.3	3602164	3602465	+	TRUE	3398
NC_000913.3	2987990	2988291	+	FALSE	NA
NC_000913.3	2323038	2323339	+	TRUE	2203
NC_000913.3	2092425	2092726	+	TRUE	2005
NC_000913.3	510096	510397	+	TRUE	475
NC_000913.3	3125320	3125621	+	TRUE	2931
NC_000913.3	3340017	3340318	+	FALSE	NA
NC_000913.3	3510360	3510661	+	TRUE	3318
NC_000913.3	1027638	1027939	+	FALSE	NA
NC_000913.3	3055363	3055664	+	FALSE	NA
NC_000913.3	2770941	2771242	+	TRUE	2612
NC_000913.3	606885	607186	+	TRUE	576
NC_000913.3	4265673	4265974	+	TRUE	3968
NC_000913.3	3064173	3064474	+	TRUE	2875
NC_000913.3	2633366	2633667	+	TRUE	2489
NC_000913.3	2694605	2694906	+	TRUE	2539
NC_000913.3	824662	824963	+	TRUE	772
NC_000913.3	892106	892407	+	TRUE	833
NC_000913.3	3164227	3164528	+	TRUE	2968
NC_000913.3	3964154	3964455	+	FALSE	NA
NC_000913.3	2502063	2502364	+	TRUE	2368
NC_000913.3	1454236	1454537	+	TRUE	1375
NC_000913.3	2746950	2747251	+	TRUE	2588
NC_000913.3	1421904	1422205	+	TRUE	1347
NC_000913.3	3227906	3228207	+	TRUE	3028
NC_000913.3	2979544	2979845	+	TRUE	2798
NC_000913.3	1456051	1456352	+	TRUE	1378
NC_000913.3	2065007	2065308	+	TRUE	1970
NC_000913.3	1159946	1160247	+	TRUE	1079
NC_000913.3	2010024	2010325	+	TRUE	1920
NC_000913.3	754269	754570	+	TRUE	708
NC_000913.3	965158	965459	+	TRUE	893
NC_000913.3	2074163	2074464	+	TRUE	1980
NC_000913.3	1823184	1823485	+	FALSE	NA
NC_000913.3	1396581	1396882	+	TRUE	1317
NC_000913.3	275930	276231	+	TRUE	252
NC_000913.3	3606451	3606752	+	TRUE	3404
NC_000913.3	1134651	1134952	+	TRUE	1055
NC_000913.3	3859752	3860053	+	TRUE	3627
NC_000913.3	493025	493326	+	TRUE	461
NC_000913.3	3471893	3472194	+	TRUE	3277
NC_000913.3	2434424	2434725	+	TRUE	2301
NC_000913.3	4541702	4542003	+	FALSE	NA
NC_000913.3	767837	768138	+	TRUE	719
NC_000913.3	1200887	1201188	+	FALSE	NA
NC_000913.3	574789	575090	+	TRUE	545
NC_000913.3	4314917	4315218	+	TRUE	4009
NC_000913.3	1867478	1867779	+	TRUE	1771
NC_000913.3	4433974	4434275	+	TRUE	4130
NC_000913.3	3067579	3067880	+	TRUE	2878
NC_000913.3	1647722	1648023	+	FALSE	NA
NC_000913.3	3370098	3370399	+	TRUE	3166
NC_000913.3	2495178	2495479	+	FALSE	NA
NC_000913.3	3233039	3233340	+	TRUE	3030
NC_000913.3	3138167	3138468	+	TRUE	2941
NC_000913.3	823830	824131	+	TRUE	771
NC_000913.3	3673693	3673994	+	TRUE	3458
NC_000913.3	1738167	1738468	+	TRUE	1648
NC_000913.3	1568803	1569104	+	FALSE	NA
NC_000913.3	4313464	4313765	+	TRUE	4007
NC_000913.3	4621533	4621834	+	FALSE	NA
NC_000913.3	1693721	1694022	+	TRUE	1604
NC_000913.3	3197099	3197400	+	TRUE	3003
NC_000913.3	3439052	3439353	+	TRUE	3230
NC_000913.3	3873940	3874241	+	TRUE	3641
NC_000913.3	3109499	3109800	+	TRUE	2920
NC_000913.3	1079353	1079654	+	TRUE	997
NC_000913.3	1751501	1751802	+	TRUE	1660
NC_000913.3	4336291	4336592	+	TRUE	4032
NC_000913.3	1046780	1047081	+	TRUE	964
NC_000913.3	4261039	4261340	+	TRUE	3963
NC_000913.3	2028608	2028909	+	TRUE	1944
NC_000913.3	1519945	1520246	+	FALSE	NA
NC_000913.3	3147846	3148147	+	TRUE	2953
NC_000913.3	3186626	3186927	+	TRUE	2994
NC_000913.3	3885469	3885770	+	TRUE	3653
NC_000913.3	4402696	4402997	+	TRUE	4092
NC_000913.3	1632067	1632368	+	FALSE	NA
NC_000913.3	656594	656895	+	TRUE	619
NC_000913.3	3381728	3382029	+	TRUE	3178
NC_000913.3	1892109	1892410	+	TRUE	1798
NC_000913.3	2341363	2341664	+	TRUE	2215
NC_000913.3	2062881	2063182	+	TRUE	1968
NC_000913.3	1676675	1676976	+	TRUE	1591
NC_000913.3	1429601	1429902	+	TRUE	1357
NC_000913.3	4595435	4595736	+	TRUE	4273
NC_000913.3	2400887	2401188	+	TRUE	2268
NC_000913.3	2007672	2007973	+	TRUE	1917
NC_000913.3	1440506	1440807	+	TRUE	1364
NC_000913.3	3180758	3181059	+	TRUE	2986
NC_000913.3	2659030	2659331	+	TRUE	2508
NC_000913.3	3669146	3669447	+	FALSE	NA
NC_000913.3	1765151	1765452	+	TRUE	1674
NC_000913.3	1438447	1438748	+	TRUE	1364
NC_000913.3	1218723	1219024	+	FALSE	NA
NC_000913.3	2064648	2064949	+	TRUE	1970
NC_000913.3	3023802	3024103	+	TRUE	2837
NC_000913.3	3827426	3827727	+	TRUE	3599
NC_000913.3	612758	613059	+	TRUE	581
NC_000913.3	2502478	2502779	+	TRUE	2368
NC_000913.3	3831515	3831816	+	TRUE	3601
NC_000913.3	3951375	3951676	+	FALSE	NA
NC_000913.3	1446185	1446486	+	FALSE	NA
NC_000913.3	721394	721695	+	TRUE	681
NC_000913.3	1120686	1120987	+	TRUE	1037
NC_000913.3	1447009	1447310	+	TRUE	1371
NC_000913.3	1910617	1910918	+	TRUE	1819
NC_000913.3	3779618	3779919	+	TRUE	3550
NC_000913.3	923250	923551	+	TRUE	863
NC_000913.3	282555	282856	+	TRUE	262
NC_000913.3	1810779	1811080	+	FALSE	NA
NC_000913.3	3351014	3351315	+	TRUE	3154
NC_000913.3	3158639	3158940	+	TRUE	2964
NC_000913.3	4587187	4587488	+	TRUE	4267
